был	быў
была	была
были	былі
было	было
буду	буду
будем	будзем
будет	будзе
будут	будуць
будешь	будзеш
будете	будзеце
будь	будзь
будьте	будзьце
бывая	бываючы

вы	вы
вас	вас
вам	вам
вами	вамі

ваш	ваш
вашего	вашага
ваша	ваша
вашей	вашай
ваше	ваша
вашего	вашага
ваши	вашы
ваших	вашых

году	годзе

город	горад
города	горада
городу	гораду
городом	горадам
городе	горадзе
города	гарады
городов	гарадоў
городам	гарадам
городами	гарадамі
городах	гарадах

друг	сябар
друга	сябра
другу	сябру
другом	сябрам
друге	сябру
друзья	сябры
друзей	сяброў
друзьям	сябрам
друзьями	сябрамі
друзьях	сябрах

его	яго
ему	яму

ей	ёй
её	яе

им	ім
их	іх

кто	хто
кого	каго
кому	каму
ком	кім
кем	кем

какой	які
какого	якога
какому	якому
каким	якім
каком	яком
какая	якая
какой	якой
какую	якую
какое	якое
какие	якія
каких	якіх
каким	якім
какими	якімі

который	які
которго	якога
которому	якому
которым	якім
котором	якім
которая	якая
которой	якой
которую	якую
которое	якое
которые	якія
которых	якіх
которым	якім
которыми	якімі

лет	лет

мочь	магчы
мог	мог
могла	магла
могло	магло
могли	маглі
могу	магу
может	можа
могут	могуць
можешь	можаш
можете	можаце

мой	мой
моего	майго
моему	майму
моим	маім
моём	маім
моя	мая
моей	маёй
мою	маю
моё	маё
мои	мае
моих	маіх
моим	маім
моими	маімі

мне	мне
мной	мной
мною	мною

он	ён
она	яна
оно	яно
они	яны

нам	нам
нами	намі
нас	нас
нём	ім
ним	ім
ней	ёй
ними	імі

наш	наш
наша	наша
наши	нашы
нашим	нашым

попади	патрап

свой	свой
своему	свайму
своего	свайго
своём	сваім
своя	свая
своей	сваёй
своё	сваё
свои	сваі
своим	сваім
своих	сваіх

самый	самы
самого	самага
самому	самаму
самым	самым
самом	самым
самая	самая
самой	самай
самую	самую
самое	самае
самые	самыя
самых	самых
самым	самым
самыми	самымі

ты	ты
тебе	цябе
тебя	цябе
тобой	табой

тaкой	такі
тaкого	такога
тaкая	такая
такие	такія
такими	такімі
таких	такіх

тaков	такі
тaкового	такога
тaковая	такая
тaковой	такой
таковые	такія
таковыми	такімі
таковых	такіх

твой	твой
твоего	твайго
твоя	твая
твоей	тваёй
твои	тваі
твоим	тваім
твоими	тваімі
твоих	тваіх

тот	той
того	таго
тому	таму
та	тая
той	той
те	тыя
тем	тым
тех	тых

что	што
чего	чаго
чем	чым
чему	чаму
чём	чым

этот	гэты
этого	гэтага
этому	гэтаму
этом	гэтым
эта	гэтая
этой	гэтай
это	гэта
эти	гэтыя
этих	гэтых
этим	гэтым
этими	гэтымі
