авто	аўта
авиа	авія
агро	агра
анти	анты
аудио	аўдыё
бел	бел
бело	бела
военно	ваенна
вело	вела
видео	відэа
все	усе
водо	вода
восточно	усходне
гео	геа
гос	дзярж
евро	еўра
жёлто	жоўта
западно	заходне
зелёно	зялёна
красно	чырвона
мед	мед
мини	міні
мото	мота
пол	паў
полу	паў
про	пра
псевдо	псеўда
светло	светла
северо	паўночна
сельхоз	сельгас
серо	сера
сине	сіне
средне	сярэдне
теле	тэле
тёмно	цёмна
тех	тэх
техно	тэхна
фото	фота
чёрно	чорна
экс	экс
экстра	экстра
электро	электра
южно	паўднёва
ярко	ярка
